DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-10-19,Spain,La Liga,LEAGUE,2022/2023,Real Valladolid,Celta de Vigo,H,4,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,8,6,2,38,3,12,1,0,23,6,17,62,7,11,1,0
2022-10-19,Spain,La Liga,LEAGUE,2022/2023,Real Sociedad,Mallorca,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,8,7,51,10,18,1,0,14,4,10,49,7,9,2,0
2022-10-19,Spain,La Liga,LEAGUE,2022/2023,Cádiz,Real Betis,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,3,12,40,4,15,1,0,12,3,9,60,9,7,2,1
2022-10-20,Spain,La Liga,LEAGUE,2022/2023,Osasuna,Espanyol,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,65,9,17,1,0,7,4,3,35,2,15,2,0
2022-10-20,Spain,La Liga,LEAGUE,2022/2023,Almería,Girona,H,3,2,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,13,7,6,34,4,14,1,0,15,5,10,66,5,14,3,0
2022-10-20,Spain,La Liga,LEAGUE,2022/2023,FC Barcelona,Villarreal,H,3,0,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,15,5,10,70,8,18,0,0,5,1,4,30,0,11,1,0
2022-10-22,Spain,La Liga,LEAGUE,2022/2023,Real Madrid,Sevilla,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,56,4,9,1,0,9,2,7,44,3,12,4,0
2022-10-22,Spain,La Liga,LEAGUE,2022/2023,Real Valladolid,Real Sociedad,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,25,4,19,2,0,23,4,19,75,10,14,3,0
2022-10-22,Spain,La Liga,LEAGUE,2022/2023,Rayo Vallecano,Cádiz,H,5,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,27,12,15,62,10,13,1,1,3,1,2,38,1,12,4,2
2022-10-22,Spain,La Liga,LEAGUE,2022/2023,Valencia,Mallorca,A,1,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,13,4,9,68,5,14,3,0,10,5,5,32,3,19,5,0
2022-10-23,Spain,La Liga,LEAGUE,2022/2023,Girona,Osasuna,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,50,3,11,2,0,11,4,7,50,5,11,3,0
2022-10-23,Spain,La Liga,LEAGUE,2022/2023,Villarreal,Almería,H,2,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,13,6,7,52,10,7,4,2,15,4,11,48,4,8,1,0
2022-10-23,Spain,La Liga,LEAGUE,2022/2023,FC Barcelona,Athletic Club,H,4,0,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,8,6,2,66,1,7,2,0,5,1,4,34,2,13,2,0
2022-10-23,Spain,La Liga,LEAGUE,2022/2023,Real Betis,Atlético Madrid,A,1,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,5,13,55,7,10,2,0,9,4,5,45,4,17,3,0
2022-10-23,Spain,La Liga,LEAGUE,2022/2023,Espanyol,Elche,D,2,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,5,9,41,5,13,2,0,9,4,5,59,3,10,3,0
2022-10-24,Spain,La Liga,LEAGUE,2022/2023,Celta de Vigo,Getafe,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,19,7,12,72,10,10,1,0,4,1,3,28,0,13,1,0
2022-10-28,Spain,La Liga,LEAGUE,2022/2023,Mallorca,Espanyol,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,13,5,8,52,4,15,4,1,7,2,5,48,4,9,1,0
2022-10-29,Spain,La Liga,LEAGUE,2022/2023,Almería,Celta de Vigo,H,3,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,20,5,15,62,6,10,4,0,9,4,5,38,4,7,0,1
2022-10-29,Spain,La Liga,LEAGUE,2022/2023,Cádiz,Atlético Madrid,H,3,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,7,3,41,5,15,2,0,17,8,9,59,3,12,4,0
2022-10-29,Spain,La Liga,LEAGUE,2022/2023,Valencia,FC Barcelona,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,4,3,1,33,3,13,4,0,14,3,11,67,10,7,5,0
2022-10-29,Spain,La Liga,LEAGUE,2022/2023,Sevilla,Rayo Vallecano,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,3,9,63,6,9,6,0,15,6,9,37,6,20,1,0
2022-10-30,Spain,La Liga,LEAGUE,2022/2023,Real Madrid,Girona,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,19,6,13,58,7,16,3,1,8,2,6,42,1,8,3,0
2022-10-30,Spain,La Liga,LEAGUE,2022/2023,Osasuna,Real Valladolid,H,2,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,21,11,10,48,1,14,1,0,8,3,5,52,8,16,3,0
2022-10-30,Spain,La Liga,LEAGUE,2022/2023,Athletic Club,Villarreal,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,20,7,13,43,6,12,2,0,6,3,3,57,2,10,1,0
